VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;EQART;RBNR;NATURE;DOCUMENTO_PM
PM;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
P2;04;2E;Z-RES;E;5;FL_PCS;FL00000E;;
AC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
B1;05;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;05;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;05;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;05;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;05;2E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
DS;C1;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;05;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
C2;05;2E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C2;05;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C2;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C2;05;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C2;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
AC;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
P2;05;2E;Z-RES;E;5;FL_PCS;FL00000E;;
AC;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
